#i	s.x[i]	s.y[i]	value	angle
0	0	1	1	1.5708
1	0.527066	0.849824	0.646584	1.01565
2	0.737185	0.675691	0.472309	0.741902
3	0.95928	0.282455	0.182298	0.286353
4	0.41041	0.911901	0.730771	1.14789
5	0.0560044	0.998431	0.964328	1.51476
6	0.992089	-0.125535	-0.0801292	-0.125867
7	0.641872	0.766811	0.556316	0.873859
8	0.701832	-0.712342	-0.504731	-0.79283
9	0.002116	0.999998	0.998653	1.56868
10	0.618142	0.786066	0.575771	0.904419
11	0.833296	0.552827	0.372902	0.585753
12	0.590639	-0.806936	-0.597752	-0.938946
13	0.968282	-0.24986	-0.160769	-0.252536
14	0.17074	0.985316	0.890768	1.39922
15	0.24511	0.969495	0.842352	1.32316
16	0.217344	0.976095	0.860521	1.3517
17	0.721165	0.692764	0.487214	0.765314
18	0.358516	-0.933524	-0.766566	-1.20412
19	0.05774	0.998332	0.963221	1.51302
20	0.325378	0.945584	0.789017	1.23938
21	0.613713	-0.789529	-0.57935	-0.910041
22	0.172342	0.985037	0.889733	1.39759
23	0.995326	0.0965724	0.0615759	0.0967231
24	0.518977	0.854788	0.652626	1.02514
25	0.852052	0.523456	0.350715	0.550902
26	0.978343	0.206988	0.132732	0.208496
27	0.984482	-0.175486	-0.1123	-0.1764
28	0.949959	-0.312376	-0.20225	-0.317693
29	0.450776	0.892637	0.702294	1.10316
30	0.7277	-0.685896	-0.481179	-0.755834
31	0.966691	0.255945	0.164773	0.258825
32	0.902911	-0.429827	-0.282851	-0.444301
33	0.000498482	-1	-0.999683	-1.5703
34	0.492914	-0.870078	-0.671863	-1.05536
35	0.999566	-0.0294601	-0.0187576	-0.0294644
36	0.750453	-0.660924	-0.459671	-0.722049
37	0.582896	-0.812547	-0.603839	-0.948508
38	0.775888	-0.630871	-0.434605	-0.682675
39	0.0300427	0.999549	0.980871	1.54075
40	0.998917	-0.0465372	-0.0296372	-0.046554
41	0.872527	0.488567	0.32496	0.510446
42	0.295421	0.955367	0.80908	1.2709
43	0.263684	-0.964609	-0.830125	-1.30396
44	0.556442	0.830886	0.624332	0.980699
45	0.0293526	0.999569	0.981311	1.54144
46	0.419	-0.907986	-0.724761	-1.13845
47	0.870096	-0.492882	-0.328113	-0.515398
48	0.0623518	0.998054	0.96028	1.5084
49	0.695705	0.718328	0.510184	0.801396
50	0.992327	0.123642	0.078915	0.123959
51	0.14566	0.989335	0.906939	1.42462
52	0.980712	0.195456	0.125238	0.196723
53	0.554275	0.832333	0.625991	0.983304
54	0.387747	0.921766	0.746507	1.17261
55	0.366848	0.930281	0.760874	1.19518
56	0.604717	0.796441	0.586573	0.921386
57	0.418548	-0.908195	-0.725078	-1.13895
58	0.892493	-0.451062	-0.297909	-0.467955
59	0.740383	0.672185	0.469288	0.737156
60	0.947326	-0.320272	-0.207549	-0.326017
61	0.636205	-0.77152	-0.561006	-0.881226
62	0.657423	0.753521	0.543293	0.853402
63	0.75465	0.656127	0.455613	0.715675
64	0.988477	0.151372	0.0967383	0.151956
65	0.999616	-0.0277054	-0.0176401	-0.0277089
66	0.641272	0.767314	0.556814	0.874642
67	0.997804	0.0662416	0.0422016	0.0662902
68	0.510216	-0.860046	-0.659131	-1.03536
69	0.985575	-0.16924	-0.108262	-0.170058
70	0.827517	0.561441	0.379506	0.596126
71	0.00934098	0.999956	0.994053	1.56146
72	0.374883	-0.927072	-0.755366	-1.18653
73	0.429566	0.903035	0.717333	1.12678
74	0.962133	0.272579	0.175753	0.276072
75	0.18949	-0.981883	-0.878633	-1.38015
76	0.195431	0.980718	0.874779	1.3741
77	1	-0.000523089	-0.000333009	-0.000523089
78	0.248272	0.96869	0.840275	1.3199
79	0.897432	-0.441153	-0.290861	-0.456883
80	0.227096	-0.973872	-0.854154	-1.3417
81	0.989164	-0.146813	-0.0938033	-0.147346
82	0.325705	0.945471	0.788796	1.23904
83	0.95038	0.311091	0.201389	0.31634
84	0.906459	-0.422295	-0.277551	-0.435975
85	0.120438	-0.992721	-0.92314	-1.45007
86	0.630393	0.776276	0.565787	0.888736
87	0.294963	-0.955509	-0.809385	-1.27138
88	0.999361	0.0357304	0.0227515	0.035738
89	0.242078	-0.970257	-0.844342	-1.32629
90	0.996672	0.0815108	0.051949	0.0816014
91	0.764985	-0.644049	-0.445493	-0.699779
92	0.36411	0.931356	0.762746	1.19812
93	0.215995	-0.976394	-0.861401	-1.35309
94	0.734483	0.678627	0.474849	0.745891
95	0.880926	0.473255	0.313842	0.492982
96	0.64248	-0.766302	-0.555811	-0.873066
97	0.418587	0.908177	0.725051	1.13891
98	0.963645	-0.267187	-0.172188	-0.270473
99	6.94099e-310	1.2732e-313	6.94099e-310	2.07404e-317
100	0	-1	-1	-1.5708

#i	s.x[i]	s.y[i]	value	angle
0	0	1	1	1.5708
1	0.125333	0.992115	0.92	1.44513
2	0.24869	0.968583	0.84	1.31947
3	0.338738	0.940881	0.78	1.22522
4	0.397148	0.917755	0.74	1.16239
5	0.425779	0.904827	0.72	1.13097
6	0.45399	0.891007	0.7	1.09956
7	0.45399	0.891007	0.7	1.09956
8	0.45399	0.891007	0.7	1.09956
9	0.481754	0.876307	0.68	1.06814
10	0.509041	0.860742	0.66	1.03673
11	0.562083	0.827081	0.62	0.973894
12	0.587785	0.809017	0.6	0.942478
13	0.587785	0.809017	0.6	0.942478
14	0.587785	0.809017	0.6	0.942478
15	0.562083	0.827081	0.62	0.973894
16	0.509041	0.860742	0.66	1.03673
17	0.45399	0.891007	0.7	1.09956
18	0.425779	0.904827	0.72	1.13097
19	0.425779	0.904827	0.72	1.13097
20	0.45399	0.891007	0.7	1.09956
21	0.509041	0.860742	0.66	1.03673
22	0.562083	0.827081	0.62	0.973894
23	0.637424	0.770513	0.56	0.879646
24	0.728969	0.684547	0.48	0.753982
25	0.809017	0.587785	0.4	0.628319
26	0.891007	0.45399	0.3	0.471239
27	0.951057	0.309017	0.2	0.314159
28	0.982287	0.187381	0.12	0.188496
29	0.998027	0.0627905	0.04	0.0628319
30	0.998027	-0.0627905	-0.04	-0.0628319
31	0.975917	-0.218143	-0.14	-0.219911
32	0.940881	-0.338738	-0.22	-0.345575
33	0.904827	-0.425779	-0.28	-0.439823
34	0.860742	-0.509041	-0.34	-0.534071
35	0.860742	-0.509041	-0.34	-0.534071
36	0.876307	-0.481754	-0.32	-0.502655
37	0.904827	-0.425779	-0.28	-0.439823
38	0.940881	-0.338738	-0.22	-0.345575
39	0.968583	-0.24869	-0.16	-0.251327
40	0.987688	-0.156434	-0.1	-0.15708
41	0.998027	-0.0627905	-0.04	-0.0628319
42	1	0	0	0
43	0.999507	0.0314108	0.02	0.0314159
44	0.998027	0.0627905	0.04	0.0628319
45	0.992115	0.125333	0.08	0.125664
46	0.982287	0.187381	0.12	0.188496
47	0.960294	0.278991	0.18	0.282743
48	0.929776	0.368125	0.24	0.376991
49	0.904827	0.425779	0.28	0.439823
50	0.891007	0.45399	0.3	0.471239
51	0.891007	0.45399	0.3	0.471239
52	0.904827	0.425779	0.28	0.439823
53	0.917755	0.397148	0.26	0.408407
54	0.940881	0.338738	0.22	0.345575
55	0.968583	0.24869	0.16	0.251327
56	0.987688	0.156434	0.1	0.15708
57	0.992115	0.125333	0.08	0.125664
58	0.995562	0.0941083	0.06	0.0942478
59	0.995562	0.0941083	0.06	0.0942478
60	0.992115	0.125333	0.08	0.125664
61	0.987688	0.156434	0.1	0.15708
62	0.987688	0.156434	0.1	0.15708
63	0.987688	0.156434	0.1	0.15708
64	0.992115	0.125333	0.08	0.125664
65	0.998027	0.0627905	0.04	0.0628319
66	0.999507	-0.0314108	-0.02	-0.0314159
67	0.995562	-0.0941083	-0.06	-0.0942478
68	0.982287	-0.187381	-0.12	-0.188496
69	0.960294	-0.278991	-0.18	-0.282743
70	0.929776	-0.368125	-0.24	-0.376991
71	0.891007	-0.45399	-0.3	-0.471239
72	0.860742	-0.509041	-0.34	-0.534071
73	0.827081	-0.562083	-0.38	-0.596903
74	0.809017	-0.587785	-0.4	-0.628319
75	0.809017	-0.587785	-0.4	-0.628319
76	0.827081	-0.562083	-0.38	-0.596903
77	0.860742	-0.509041	-0.34	-0.534071
78	0.891007	-0.45399	-0.3	-0.471239
79	0.904827	-0.425779	-0.28	-0.439823
80	0.917755	-0.397148	-0.26	-0.408407
81	0.917755	-0.397148	-0.26	-0.408407
82	0.904827	-0.425779	-0.28	-0.439823
83	0.891007	-0.45399	-0.3	-0.471239
84	0.860742	-0.509041	-0.34	-0.534071
85	0.809017	-0.587785	-0.4	-0.628319
86	0.770513	-0.637424	-0.44	-0.69115
87	0.750111	-0.661312	-0.46	-0.722566
88	0.750111	-0.661312	-0.46	-0.722566
89	0.770513	-0.637424	-0.44	-0.69115
90	0.809017	-0.587785	-0.4	-0.628319
91	0.827081	-0.562083	-0.38	-0.596903
92	0.827081	-0.562083	-0.38	-0.596903
93	0.809017	-0.587785	-0.4	-0.628319
94	0.770513	-0.637424	-0.44	-0.69115
95	0.707107	-0.707107	-0.5	-0.785398
96	0.612907	-0.790155	-0.58	-0.911062
97	0.481754	-0.876307	-0.68	-1.06814
98	0.338738	-0.940881	-0.78	-1.22522
99	0.156434	-0.987688	-0.9	-1.41372
100	0	-1	-1	-1.5708

