#i	s.x[i]	s.y[i]	value	angle
0	0	1	1	1.5708
1	0.149987	0.988688	0.904154	1.42024
2	0.81045	0.585807	0.398445	0.625876
3	0.769359	0.638817	0.441151	0.692959
4	0.273786	-0.96179	-0.823448	-1.29347
5	0.915	-0.403454	-0.264381	-0.415289
6	0.801245	-0.598336	-0.408342	-0.641422
7	0.691233	0.722632	0.514136	0.807603
8	0.422182	-0.906511	-0.722528	-1.13495
9	0.956652	-0.291233	-0.188131	-0.295516
10	0.68861	0.725132	0.516442	0.811226
11	0.67778	-0.735264	-0.525884	-0.826057
12	0.961182	0.275915	0.177962	0.279542
13	0.968173	-0.250283	-0.161048	-0.252973
14	0.127275	-0.991867	-0.918754	-1.44317
15	0.461147	-0.887324	-0.694876	-1.09151
16	0.992394	-0.123103	-0.0785692	-0.123416
17	0.891921	-0.452192	-0.298716	-0.469222
18	0.0858487	-0.996308	-0.94528	-1.48484
19	0.696311	-0.71774	-0.509647	-0.800551
20	0.695708	0.718324	0.510181	0.801391
21	0.543667	0.839301	0.634071	0.995996
22	0.541447	-0.840735	-0.635754	-0.998639
23	0.0102814	0.999947	0.993455	1.56051
24	0.241831	-0.970318	-0.844504	-1.32654
25	0.580189	-0.814482	-0.605958	-0.951836
26	0.00872574	-0.999962	-0.994445	-1.56207
27	0.986992	0.160768	0.102794	0.161469
28	0.985957	0.167002	0.106817	0.167788
29	0.743893	0.668299	0.465954	0.731919
30	0.723939	-0.689864	-0.48466	-0.761302
31	0.975196	0.221345	0.142089	0.223193
32	0.782413	0.62276	0.427978	0.672266
33	0.493517	-0.869736	-0.671422	-1.05467
34	0.821501	-0.570208	-0.386274	-0.606759
35	0.933455	0.358695	0.233556	0.36687
36	0.860224	-0.509916	-0.340647	-0.535087
37	0.440571	0.897718	0.709552	1.11456
38	0.714905	0.699221	0.49294	0.774308
39	0.998795	-0.0490761	-0.0312554	-0.0490958
40	0.610857	-0.791741	-0.58165	-0.913653
41	0.973093	-0.230412	-0.148015	-0.232501
42	0.793661	-0.60836	-0.416345	-0.653993
